City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind speed,Country,Date
San Patricio,19.22,-104.7,89.6,70,75,17.22,MX,1595453594
Yulara,-25.24,130.99,41.0,80,0,5.82,AU,1595453594
Salinas,36.68,-121.66,71.6,53,20,13.87,US,1595453309
Vila Velha,-20.33,-40.29,78.01,73,0,11.41,BR,1595453369
Upernavik,72.79,-56.15,47.17,69,0,12.64,GL,1595453594
Warrington,53.39,-2.58,62.01,77,75,10.29,GB,1595453595
Alyangula,-13.85,136.42,59.0,93,0,11.72,AU,1595453595
Tuktoyaktuk,69.45,-133.04,44.6,87,90,9.17,CA,1595453595
Krasnyy Chikoy,50.36,108.75,61.72,82,100,2.64,RU,1595453595
Sur,22.57,59.53,83.82,73,51,20.15,OM,1595453595
Machado,-21.67,-45.92,63.9,58,0,1.43,BR,1595453596
Puerto Ayora,-0.74,-90.35,78.8,61,40,20.8,EC,1595453596
Inírida,3.87,-67.92,82.08,75,63,0.98,CO,1595453596
Watsonville,36.91,-121.76,66.99,68,75,11.41,US,1595453594
Giyani,-23.3,30.72,54.55,63,0,2.8,ZA,1595453596
Souillac,-20.52,57.52,69.8,56,75,11.41,MU,1595453532
Lüderitz,-26.65,15.16,59.0,72,0,1.12,NA,1595453597
Yellowknife,62.46,-114.35,64.99,93,90,10.29,CA,1595453494
Srednekolymsk,67.45,153.68,79.23,32,89,8.12,RU,1595453597
Bengkulu,-3.8,102.27,73.94,88,90,4.43,ID,1595453597
Kapaa,22.08,-159.32,82.99,94,90,6.93,US,1595453509
Castro,-24.79,-50.01,60.03,74,97,1.99,BR,1595453598
Korla,41.76,86.15,72.41,50,85,11.86,CN,1595453565
New Norfolk,-42.78,147.06,41.0,88,73,2.68,AU,1595453598
Ushuaia,-54.8,-68.3,35.6,64,95,4.7,AR,1595453477
Hobart,-42.88,147.33,43.0,75,75,10.29,AU,1595453528
Dingle,11.0,122.67,76.6,88,68,4.18,PH,1595453597
Mahébourg,-20.41,57.7,69.8,56,75,11.41,MU,1595453512
Ponta do Sol,32.67,-17.1,69.01,72,2,2.59,PT,1595453600
Lakefield,43.68,-95.17,78.01,57,40,6.93,US,1595453600
Atuona,-9.8,-139.03,79.63,73,1,17.65,PF,1595453600
Zastavna,48.52,25.84,64.0,73,32,4.0,UA,1595453601
Bambous Virieux,-20.34,57.76,69.8,56,75,11.41,MU,1595453601
Kruisfontein,-34.0,24.73,57.04,42,0,5.97,ZA,1595453602
Busselton,-33.65,115.33,57.0,53,37,20.89,AU,1595453602
Samdrup Jongkhar District,26.92,91.62,72.7,87,100,0.83,BT,1595453602
Mataura,-46.19,168.86,39.0,83,95,3.0,NZ,1595453501
Hithadhoo,-0.6,73.08,83.5,71,58,5.1,MV,1595453356
Port Alfred,-33.59,26.89,63.19,69,0,9.44,ZA,1595453603
Iquique,-20.22,-70.14,62.6,63,90,9.17,CL,1595453514
Jurilovca,44.77,28.87,73.4,49,3,3.36,RO,1595453604
Kavieng,-2.57,150.8,83.44,76,33,14.52,PG,1595453604
Oranjestad,12.52,-70.03,86.0,70,20,20.8,AW,1595453426
Dali,25.7,100.18,63.52,87,100,3.83,CN,1595453604
Mazamitla,19.92,-103.03,61.02,99,100,3.22,MX,1595453605
Esperance,-33.87,121.9,55.4,58,75,19.46,AU,1595453605
Fortuna,40.6,-124.16,61.0,82,20,13.87,US,1595453604
Barrow,71.29,-156.79,41.0,86,90,10.29,US,1595453605
Los Llanos de Aridane,28.66,-17.92,73.4,73,15,16.11,ES,1595453605
Ilulissat,69.22,-51.1,55.4,54,40,3.36,GL,1595453361
Mar del Plata,-38.0,-57.56,50.0,100,90,26.4,AR,1595453533
Tiksi,71.69,128.87,52.74,80,74,3.74,RU,1595453606
Port Macquarie,-31.43,152.92,48.0,96,100,4.65,AU,1595453327
Guerrero Negro,27.98,-114.06,77.2,55,4,14.54,MX,1595453607
Pacific Grove,36.62,-121.92,71.01,56,20,18.34,US,1595453515
São Filipe,14.9,-24.5,78.26,85,99,6.58,CV,1595453607
Challapata,-18.9,-66.77,49.41,38,0,3.06,BO,1595453607
College,64.86,-147.8,60.8,67,75,8.05,US,1595453608
Manzhouli,49.6,117.43,66.9,70,9,5.39,CN,1595453608
Yagodnoye,62.55,149.67,67.37,48,61,4.72,RU,1595453608
Saint-Augustin,51.23,-58.65,67.46,51,100,6.4,CA,1595453584
Ulladulla,-35.35,150.47,46.4,81,90,10.29,AU,1595453417
Tanout,14.97,8.89,89.01,42,79,7.38,NE,1595453609
Albany,42.6,-73.97,86.0,57,72,1.92,US,1595453402
Saint George,37.1,-113.58,98.6,17,20,14.99,US,1595453532
Jiutai,44.15,125.83,66.2,88,0,2.24,CN,1595453610
Xichang,27.9,102.26,68.81,81,100,2.93,CN,1595453610
Cabo San Lucas,22.89,-109.91,91.99,65,40,16.11,MX,1595453610
San Michele al Tagliamento,45.76,12.99,73.99,83,100,3.0,IT,1595453611
Arlit,18.74,7.39,95.95,23,36,16.13,NE,1595453611
Huarmey,-10.07,-78.15,64.98,72,0,10.56,PE,1595453600
Bredasdorp,-34.53,20.04,55.4,100,0,1.36,ZA,1595453612
Qaanaaq,77.48,-69.36,47.84,53,0,1.12,GL,1595453612
Saint-Philippe,-21.36,55.77,68.0,56,90,13.87,RE,1595453605
Itarema,-2.92,-39.92,77.68,72,3,14.05,BR,1595453613
Agía Galíni,35.1,24.68,78.01,50,0,1.01,GR,1595453613
Hilo,19.73,-155.09,86.0,51,75,10.29,US,1595453516
Bonito,-21.12,-56.48,72.95,43,0,2.44,BR,1595453614
Caravelas,-17.71,-39.25,68.61,69,0,3.09,BR,1595453614
Teya,60.38,92.63,53.04,92,100,0.22,RU,1595453614
Walvis Bay,-22.96,14.51,71.6,28,0,13.87,NA,1595453614
Teknāf,20.86,92.31,79.61,89,100,9.22,BD,1595453614
Mossamedes,-15.2,12.15,66.27,68,0,3.71,AO,1595453556
Husavik,66.04,-17.34,50.0,76,75,9.17,IS,1595453615
Olinda,-8.01,-34.86,78.8,69,20,13.87,BR,1595453615
Arrondissement de Dreux,48.67,1.25,66.0,55,68,6.93,FR,1595453615
Nemuro,43.32,145.57,59.88,98,100,9.98,JP,1595453615
Inuvik,68.35,-133.72,48.2,70,75,3.36,CA,1595453616
La Asuncion,11.03,-63.86,87.8,62,85,16.11,VE,1595453488
Laas,46.62,10.7,62.01,100,75,1.77,IT,1595453497
George Town,5.41,100.34,78.8,88,20,6.71,MY,1595453608
Dyersburg,36.03,-89.39,80.6,78,75,8.05,US,1595453607
Avera,33.19,-82.53,95.0,41,1,9.17,US,1595453617
Iqaluit,63.75,-68.51,46.4,93,90,2.24,CA,1595453595
Province of Mantua,45.17,10.78,73.99,89,68,10.0,IT,1595453618
Merrill,45.18,-89.68,69.8,68,90,5.82,US,1595453618
Sayyan,15.17,44.32,64.92,60,45,10.02,YE,1595453618
Belaya Gora,68.53,146.42,85.28,35,21,4.29,RU,1595453595
Khatanga,71.97,102.5,46.87,80,100,15.23,RU,1595453532
Lumby,50.25,-118.97,88.0,27,1,2.24,CA,1595453619
Brainerd,46.36,-94.2,69.8,60,90,6.93,US,1595453464
Luena,-11.78,19.92,53.92,42,0,5.53,AO,1595453619
Oranjemund,-28.55,16.43,59.04,69,0,1.59,NA,1595453619
Dongsheng,39.82,109.98,64.87,71,66,8.12,CN,1595453620
Cidreira,-30.18,-50.21,66.69,70,92,8.3,BR,1595453620
Ripoll,42.2,2.19,71.01,72,1,4.25,ES,1595453620
Torbay,47.67,-52.73,73.0,53,75,16.11,CA,1595453620
Punta Arenas,-53.15,-70.92,26.6,100,20,6.93,CL,1595453621
Carutapera,-1.2,-46.02,77.18,81,24,6.6,BR,1595453621
Mananara,-16.17,49.77,65.17,84,48,8.81,MG,1595453621
Namatanai,-3.67,152.43,81.36,76,80,8.39,PG,1595453621
Ahipara,-35.17,173.17,58.37,73,51,15.17,NZ,1595453622
Piacenza,45.05,9.7,73.99,75,86,4.47,IT,1595453578
Yinchuan,38.47,106.27,71.4,66,57,4.0,CN,1595453436
Sept-Îles,50.2,-66.38,72.0,64,40,8.05,CA,1595453622
Distrikt Brokopondo,4.75,-55.17,81.41,76,100,6.93,SR,1595453622
Mattru,7.62,-11.83,74.03,96,100,3.98,SL,1595453622
Bo Rai,12.57,102.54,74.41,86,37,0.65,TH,1595453623
Marquette,46.53,-87.63,60.01,96,100,6.64,US,1595453528
Penzance,50.12,-5.54,62.01,82,99,3.36,GB,1595453623
Pingzhuang,42.04,119.29,68.61,66,0,0.81,CN,1595453623
Hambantota,6.12,81.12,79.59,85,95,10.49,LK,1595453624
Margate,51.38,1.39,63.0,64,42,1.99,GB,1595453624
Sola,-13.88,167.55,80.6,65,75,10.29,VU,1595453587
Thompson,55.74,-97.86,78.8,47,75,9.17,CA,1595453624
Kahului,20.89,-156.47,87.8,55,40,19.46,US,1595453625
Dawei,14.08,98.2,76.59,86,98,2.51,MM,1595453625
Te Anau,-45.42,167.72,36.25,81,52,3.24,NZ,1595453609
Bethel,41.37,-73.41,86.0,62,20,8.05,US,1595453592
Haines Junction,60.75,-137.51,63.86,50,96,6.13,CA,1595453625
Zhezkazgan,47.8,67.71,75.61,49,100,21.61,KZ,1595453625
Chilia Veche,45.42,29.28,73.4,49,6,3.36,RO,1595453626
Ternate,0.8,127.4,80.08,78,1,6.93,ID,1595453626
Bathsheba,13.22,-59.52,86.0,62,40,16.11,BB,1595453626
Joensuu,62.6,29.76,57.0,93,90,13.87,FI,1595453627
Nanortalik,60.14,-45.24,52.0,65,100,13.73,GL,1595453627
Poggibonsi,43.47,11.15,72.0,59,0,4.0,IT,1595453627
Pangnirtung,66.15,-65.71,48.2,93,90,10.29,CA,1595453627
Pathein,16.78,94.73,77.23,88,98,3.53,MM,1595453628
Ust'-Kan,50.93,84.76,47.21,88,50,0.49,RU,1595453629
Kysyl-Syr,63.9,122.76,62.42,74,0,6.8,RU,1595453629
Kaitangata,-46.28,169.85,37.99,80,43,5.99,NZ,1595453627
Carnarvon,-24.87,113.63,57.2,100,0,8.05,AU,1595453582
Evensk,61.95,159.23,59.94,60,12,4.34,RU,1595453584
Tuatapere,-46.13,167.68,39.0,83,89,3.0,NZ,1595453630
Klaksvík,62.23,-6.59,48.2,87,98,5.82,FO,1595453630
Griffith,41.53,-87.42,87.8,62,40,6.93,US,1595453494
Lorengau,-2.02,147.27,83.91,74,21,8.5,PG,1595453630
Saint Paul Harbor,57.79,-152.41,66.2,45,1,13.87,US,1595453496
Meulaboh,4.14,96.13,75.76,88,100,0.67,ID,1595453580
Portland,45.52,-122.68,80.01,56,40,6.93,US,1595453422
Butaritari,3.07,172.79,83.59,75,63,14.43,KI,1595453631
Krasnoarmeyskiy,47.01,42.21,71.06,55,8,7.92,RU,1595453631
Khasan,42.43,130.64,67.14,91,5,9.66,RU,1595453632
Vila Franca do Campo,37.72,-25.43,69.8,64,40,2.24,PT,1595453632
Isangel,-19.55,169.27,71.6,78,75,5.82,VU,1595453582
Sitka,57.05,-135.33,60.8,77,90,4.7,US,1595453583
Whitehorse,60.72,-135.05,60.01,93,75,3.49,CA,1595453434
Honningsvåg,70.98,25.97,48.2,100,90,10.29,NO,1595453633
Priladozhskiy,59.85,31.48,57.0,99,5,10.51,RU,1595453633
Flinders,-34.58,150.86,46.99,88,11,1.99,AU,1595453633
Hasaki,35.73,140.83,73.4,94,75,2.24,JP,1595453633
Yar-Sale,66.83,70.83,45.12,81,53,7.63,RU,1595453634
Nam Som,17.77,102.19,75.06,91,100,3.0,TH,1595453634
Hong Kong,22.29,114.16,84.0,79,55,7.23,HK,1595453345
Pisco,-13.7,-76.22,68.0,68,0,3.36,PE,1595453634
Khvastovichi,53.47,35.09,50.54,90,5,7.16,RU,1595453635
Trairi,-3.28,-39.27,77.2,71,15,9.42,BR,1595453635
Kisangani,0.52,25.2,73.26,77,97,1.99,CD,1595453365
San Lorenzo,-25.33,-57.53,86.0,37,97,8.05,PY,1595453488
Laguna,38.42,-121.42,86.0,34,1,11.41,US,1595453636
Euclides da Cunha,-10.51,-39.02,65.12,97,70,6.51,BR,1595453636
Hoa Binh,20.81,105.34,82.4,78,3,6.93,VN,1595453636
Gizo Government Station,-8.1,156.84,81.95,75,61,7.56,SB,1595453636
Khovd,48.01,91.64,60.19,70,5,3.15,MN,1595453636
Vestmannaeyjar,63.44,-20.27,53.6,87,40,5.82,IS,1595453589
Kabare,-2.47,28.82,63.18,71,94,0.31,CD,1595453637
Härnösand,62.63,17.94,55.99,62,79,12.75,SE,1595453637
Mount Isa,-20.73,139.5,50.0,43,0,6.93,AU,1595453637
Hargeisa,9.56,44.06,70.74,58,85,28.59,SO,1595453561
Kiryat Gat,31.61,34.76,80.01,63,0,1.01,IL,1595453342
Airai,-8.93,125.41,53.53,53,94,4.25,TL,1595453638
Kyshtovka,56.55,76.63,47.55,88,42,6.35,RU,1595453638
Aasiaat,68.71,-52.87,47.62,69,47,5.08,GL,1595453639
Samarai,-10.62,150.67,77.29,82,17,10.76,PG,1595453539
Taoudenni,22.68,-3.98,104.61,17,55,22.19,ML,1595453639
Palmer,42.16,-72.33,86.0,58,75,3.94,US,1595453639
Nara,34.69,135.8,80.01,83,75,5.82,JP,1595453640
Saldanha,-33.01,17.94,53.6,87,0,5.82,ZA,1595453640
Sørland,67.67,12.69,53.6,76,40,12.75,NO,1595453640
Takoradze,4.88,-1.76,74.97,90,87,9.06,GH,1595453640
Ariquemes,-9.91,-63.04,82.47,45,14,2.08,BR,1595453640
Talaya,61.38,152.75,66.15,51,56,7.65,RU,1595453641
Thunder Bay,48.4,-89.32,73.4,49,75,16.11,CA,1595453538
Midland,32.0,-102.08,97.0,26,40,3.36,US,1595453641
Helena,46.59,-112.04,91.4,18,1,10.29,US,1595453641
Nassau,40.75,-73.58,89.6,59,1,13.87,US,1595453641
Sakakah,29.97,40.21,95.0,10,0,4.7,SA,1595453642
Mehamn,71.04,27.85,48.2,100,90,10.29,NO,1595453642
Faanui,-16.48,-151.75,77.27,79,29,18.41,PF,1595453628
Semīrom,31.42,51.57,57.74,36,0,2.42,IR,1595453642
St. George's,12.06,-61.75,84.2,74,40,17.22,GD,1595453643
Port Lincoln,-34.73,135.87,48.31,84,1,9.42,AU,1595453643
Puerto Wilches,7.35,-73.9,88.57,64,21,1.97,CO,1595453643
Saint-Pierre,-21.34,55.48,68.0,56,90,13.87,RE,1595453643
Ostrovnoy,68.05,39.51,59.45,77,24,8.79,RU,1595453644
Kolpashevo,58.31,82.91,45.19,87,79,6.31,RU,1595453644
Muros,42.78,-9.06,72.0,71,1,11.99,ES,1595453644
Menongue,-14.66,17.69,49.15,48,0,3.96,AO,1595453644
Kualakapuas,-3.01,114.39,73.36,98,74,1.83,ID,1595453644
Weligama,5.97,80.42,78.3,90,93,4.38,LK,1595453645
Puerto Ayacucho,5.66,-67.62,78.8,83,75,10.29,VE,1595453645
Chui,-33.7,-53.46,64.51,96,100,7.56,UY,1595453554
Cefalù,38.04,14.02,75.99,83,0,4.0,IT,1595453645
Kumul,42.8,93.45,79.59,29,99,6.89,CN,1595453646
Chupa,66.27,33.05,57.22,93,65,6.78,RU,1595453646
Petra,30.32,35.48,69.1,41,0,0.92,JO,1595453646
Ayacucho,-13.16,-74.22,67.89,26,6,3.44,PE,1595453646
Mehrān,33.12,46.16,78.8,24,0,4.7,IR,1595453647
Severobaykal'sk,55.65,109.32,55.26,90,100,2.26,RU,1595453647
Qiongshan,20.01,110.35,78.8,88,0,2.24,CN,1595453647
Flin Flon,54.77,-101.86,78.8,57,75,11.41,CA,1595453647
Ukiah,39.15,-123.21,91.99,37,20,11.41,US,1595453402
Narsaq,60.92,-46.05,68.0,24,53,31.09,GL,1595453586
Koson,39.04,65.58,80.6,39,1,4.7,UZ,1595453648
Fairbanks,64.84,-147.72,60.8,82,75,3.36,US,1595453648
Kalemie,-5.95,29.19,69.62,58,19,3.85,CD,1595453648
Asău,46.43,26.4,61.0,98,99,2.01,RO,1595453649
Wanlaweyn,2.62,44.89,74.77,80,100,15.26,SO,1595453649
Maningrida,-12.07,134.27,61.03,88,31,8.12,AU,1595453649
Requena,39.49,-1.1,69.01,46,0,3.8,ES,1595453649
Boende,-0.22,20.87,77.2,65,93,2.55,CD,1595453649
Cairns,-16.92,145.77,68.0,88,90,11.41,AU,1595453513
San Quintín,30.48,-115.95,71.44,68,9,15.95,MX,1595453650
Jardim,-21.48,-56.14,74.7,39,6,3.27,BR,1595453650
Tumaco,1.8,-78.82,77.58,82,100,10.98,CO,1595453650
Elmadağ,39.92,33.23,73.4,42,0,12.75,TR,1595453651
Maragogi,-9.01,-35.22,73.9,79,14,9.75,BR,1595453636
Havøysund,71.0,24.66,46.4,100,75,18.34,NO,1595453624
Klyuchi,52.27,79.17,58.57,82,0,3.44,RU,1595453651
Xining,36.62,101.77,62.49,62,100,1.97,CN,1595453437
Kunyang,27.67,120.57,76.98,89,100,2.19,CN,1595453652
Ziarat,30.38,67.73,63.79,52,0,3.67,PK,1595453652
Songjianghe,42.19,127.48,63.43,78,20,2.19,CN,1595453652
Batemans Bay,-35.72,150.18,51.01,98,92,2.08,AU,1595453634
Tupik,54.43,119.93,56.17,90,100,2.8,RU,1595453653
Tashtagol,52.77,87.89,53.26,92,21,3.44,RU,1595453653
Jackson,42.42,-122.83,95.0,26,1,6.93,US,1595453652
Norman Wells,65.28,-126.83,57.2,76,75,13.87,CA,1595453534
Wilmington,34.23,-77.94,93.2,46,1,12.75,US,1595453414
Carora,10.18,-70.08,89.62,39,98,15.39,VE,1595453654
Krasnogvardeyets,52.68,52.36,64.08,84,98,7.38,RU,1595453654
Yondó,7.01,-73.91,88.65,63,7,2.1,CO,1595453655
Kingisepp,59.37,28.61,53.82,78,18,8.05,RU,1595453655
Kaeo,-35.1,173.78,55.0,3,27,5.99,NZ,1595453585
Uglegorsk,49.08,142.03,60.15,79,90,0.96,RU,1595453655
Kieta,-6.22,155.63,81.95,73,80,5.19,PG,1595453655
Bilibino,68.05,166.44,73.58,35,99,3.96,RU,1595453605
Coquimbo,-29.95,-71.34,57.2,67,40,13.87,CL,1595453656
Tessalit,20.2,1.01,95.54,23,31,5.39,ML,1595453656
Karasjok,69.47,25.51,50.0,93,75,18.34,NO,1595453656
Foumban,5.73,10.9,62.73,99,35,2.26,CM,1595453656
Vao,-22.67,167.48,67.46,73,100,17.27,NC,1595453657
Rognan,67.1,15.39,54.0,94,100,7.11,NO,1595453657
Cap Malheureux,-19.98,57.61,66.0,64,48,3.0,MU,1595453657
Caconda,-13.73,15.07,51.08,46,0,0.6,AO,1595453657
Ribeira Grande,38.52,-28.7,71.6,73,40,5.82,PT,1595453628
Yangjiang,21.85,111.97,79.34,85,2,0.81,CN,1595453658
Newala,-10.94,39.28,59.9,88,63,3.47,TZ,1595453658
Hofn,64.25,-15.21,50.32,81,96,9.08,IS,1595453604
East London,-33.02,27.91,63.61,41,0,6.29,ZA,1595453590
Amahai,-3.33,128.92,76.57,85,51,7.49,ID,1595453577
Palmas,-10.21,-48.36,87.8,38,0,8.05,BR,1595453659
Bauchi,10.5,10.0,74.44,85,86,4.74,NG,1595453659
Rock Sound,24.9,-76.2,83.75,78,94,16.46,BS,1595453659
Murgab,37.5,61.97,84.2,30,0,4.7,TM,1595453659
Necochea,-38.55,-58.74,48.0,98,100,21.0,AR,1595453660
Provideniya,64.38,-173.3,46.4,87,40,6.71,RU,1595453660
Zhigansk,66.77,123.37,60.24,70,26,20.6,RU,1595453660
Eureka,40.8,-124.16,68.0,51,54,4.0,US,1595453660
Āsosa,10.07,34.53,60.84,100,100,1.07,ET,1595453660
Cherskiy,68.75,161.3,77.0,31,100,11.5,RU,1595453618
Dunedin,-45.87,170.5,39.99,75,2,5.01,NZ,1595453661
Ivanovka,42.89,75.08,69.8,46,20,11.18,KG,1595453661
Emerald,-23.53,148.17,55.4,100,67,10.29,AU,1595453661
Tazmalt,36.39,4.4,75.2,78,40,3.36,DZ,1595453662
Karpathos,35.51,27.21,75.2,83,0,26.4,GR,1595453662
Resistencia,-27.46,-58.98,75.99,57,100,9.17,AR,1595453441
Port Blair,11.67,92.75,81.91,74,100,0.67,IN,1595453649
Mānsa,29.98,75.38,83.68,58,0,5.12,IN,1595453662
Ancud,-41.87,-73.82,50.0,61,78,5.82,CL,1595453594
La Baule-Escoublac,47.29,-2.36,68.0,56,60,5.82,FR,1595453663
Kuching,1.55,110.33,73.4,100,20,2.24,MY,1595453607
Nordfjordeid,61.91,5.99,51.8,76,75,4.7,NO,1595453663
Iracoubo,5.48,-53.2,78.98,84,88,7.67,GF,1595453664
Bang Saphan,11.21,99.51,76.87,86,53,2.3,TH,1595453664
Buala,-8.14,159.59,82.58,78,67,11.54,SB,1595453664
Rong Kwang,18.34,100.32,73.44,91,43,1.59,TH,1595453512
Bima,-8.47,118.72,73.8,86,57,4.99,ID,1595453664
Karema,-6.82,30.44,69.96,58,14,2.73,TZ,1595453665
Barra do Corda,-5.5,-45.25,79.97,51,96,2.64,BR,1595453645
Aklavik,68.22,-135.01,50.0,61,75,3.36,CA,1595453642
Mbumi,-7.91,39.21,71.71,77,63,5.66,TZ,1595453665
La Ronge,55.1,-105.28,80.6,47,75,11.41,CA,1595453597
Labytnangi,66.66,66.42,46.4,83,0,2.3,RU,1595453666
Faya,18.39,42.45,71.6,88,20,3.85,SA,1595453649
Anzio,41.49,12.62,77.0,69,5,4.7,IT,1595453667
Harar,9.31,42.13,60.75,82,87,9.51,ET,1595453667
Gorom-Gorom,14.44,-0.24,93.78,34,36,10.6,BF,1595453668
Ningbo,29.88,121.55,84.0,83,100,6.71,CN,1595453668
Gonder,12.6,37.47,57.0,88,98,3.51,ET,1595453668
Ubari,26.59,12.78,81.45,23,0,11.39,LY,1595453668
Araouane,18.9,-3.53,99.95,24,20,9.51,ML,1595453668
Knysna,-34.04,23.05,50.0,93,0,3.36,ZA,1595453669
Hancheng,32.52,112.35,70.25,93,100,8.55,CN,1595453669
Almeirim,-1.52,-52.58,79.2,78,100,2.59,BR,1595453669
Tazovsky,67.47,78.7,44.26,80,0,14.65,RU,1595453669
Mount Gambier,-37.83,140.77,44.6,93,90,6.93,AU,1595453456
Leningradskiy,69.38,178.42,60.01,50,100,3.33,RU,1595453510
Nantucket,41.28,-70.1,75.2,83,1,8.05,US,1595453401
Mārkāpur,15.73,79.28,82.81,76,100,4.65,IN,1595453670
Khromtau,50.25,58.43,62.71,76,74,20.8,KZ,1595453670
Sarab,38.61,44.99,73.98,58,1,5.91,IR,1595453670
Yangi Marg`ilon,40.43,71.72,77.0,36,3,6.93,UZ,1595453619
Srikakulam,18.3,83.9,80.55,85,100,9.31,IN,1595453671
São João da Barra,-21.64,-41.05,77.0,69,0,6.93,BR,1595453671
Al Bardīyah,31.76,25.09,73.65,78,0,9.37,LY,1595453671
Havre-St-Pierre,50.23,-63.6,64.4,68,1,21.92,CA,1595453495
Paita,-5.09,-81.11,65.66,76,12,17.9,PE,1595453672
Severo-Kuril'sk,50.68,156.12,52.29,84,34,1.16,RU,1595453618
Penticton,49.48,-119.59,88.0,31,40,4.7,CA,1595453416
Pochutla,15.74,-96.47,86.0,70,90,8.05,MX,1595453673
Clyde River,70.47,-68.59,46.4,81,90,2.24,CA,1595453602
Praia da Vitória,38.73,-27.07,71.6,68,20,3.42,PT,1595453653
Carballo,43.21,-8.69,68.0,77,6,5.82,ES,1595453673
Atar,20.52,-13.05,98.91,22,49,7.72,MR,1595453673
Severnoye,56.35,78.36,45.97,81,44,5.73,RU,1595453674
Pargas,60.31,22.3,57.99,76,29,10.29,FI,1595453674
Øksfjord,70.24,22.35,51.8,81,100,21.92,NO,1595453675
Pontianak,-0.03,109.33,74.23,94,98,4.14,ID,1595453675
Roebourne,-20.78,117.13,68.5,46,0,6.58,AU,1595453675
Krasnosel'kup,65.7,82.47,52.23,86,91,16.04,RU,1595453675
Tura,25.52,90.22,73.8,98,100,4.88,IN,1595453582
Tekeli,44.83,78.82,58.17,66,69,9.46,KZ,1595453676
Makakilo City,21.35,-158.09,82.4,69,1,12.75,US,1595453676
Harper,4.38,-7.72,75.69,85,95,10.11,LR,1595453672
Gambēla,8.25,34.58,70.25,94,100,1.45,ET,1595453676
Biltine,14.53,20.92,77.77,71,100,28.54,TD,1595453676
Makkah al Mukarramah,21.43,39.83,82.22,63,77,4.76,SA,1595453542
Karratha,-20.74,116.85,68.31,44,0,6.11,AU,1595453664
Codrington,-38.27,141.97,47.03,80,100,4.0,AU,1595453677
Westport,41.14,-73.36,86.0,78,1,9.17,US,1595453677
Sweetwater,25.76,-80.37,82.4,83,90,14.99,US,1595453678
Riohacha,11.54,-72.91,89.6,66,75,17.22,CO,1595453517
Port Elizabeth,-33.92,25.57,59.0,100,0,5.82,ZA,1595453656
Mana,5.66,-53.78,79.63,83,85,7.27,GF,1595453679
Maumere,-8.62,122.21,76.44,75,58,6.55,ID,1595453679
Dul'durga,50.68,113.59,65.97,64,100,3.36,RU,1595453680
Vinh,18.67,105.67,76.62,85,0,2.51,VN,1595453423
Antofagasta,-23.65,-70.4,59.0,72,75,13.87,CL,1595453625
Zhangye,38.93,100.45,68.41,54,100,3.74,CN,1595453680
Athabasca,54.72,-113.29,73.67,63,32,8.03,CA,1595453616
Xingcheng,40.62,120.72,72.61,71,68,7.34,CN,1595453681
Poltavka,54.37,71.76,60.03,74,0,1.3,RU,1595453682
